Date,TIME,YYYY,MM,DD,HH,MIN,DOW,SEVERITY,ACCIDENT_T,ACCIDENT_D,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,RENDER,Location 1
01/12/2011 12:00:00 AM,13:45,2011,1,12,13,45,2,Slight Injury,E,Elderly Pedestrian Injury,1,1,1,0,0,0,1,E,"(51.456541999999999, -2.5956435999999998)"
01/12/2011 12:00:00 AM,16:40,2011,1,12,16,40,2,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.455500000000001, -2.6146134999999999)"
01/17/2011 12:00:00 AM,17:20,2011,1,17,17,20,0,Slight Injury,J2,Turning movement from minor road,2,1,0,1,0,0,0,CYC,"(51.495021000000001, -2.6175651000000002)"
01/17/2011 12:00:00 AM,00:06,2011,1,17,0,6,0,Slight Injury,A,Adult Pedestrian Injury,1,1,1,0,0,0,0,A,"(51.442323999999999, -2.5781352000000002)"
01/17/2011 12:00:00 AM,19:10,2011,1,17,19,10,0,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.458818000000001, -2.5338970000000001)"
01/12/2011 12:00:00 AM,12:01,2011,1,12,12,1,2,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,0,0,0,CARS,"(51.492406000000003, -2.6069140000000002)"
01/05/2011 12:00:00 AM,08:22,2011,1,5,8,22,2,Slight Injury,J,Turning movement with unidentified Priority,2,2,0,0,0,0,0,CARS,"(51.477856000000003, -2.5603693000000001)"
01/12/2011 12:00:00 AM,06:05,2011,1,12,6,5,2,Slight Injury,J1,Turning movement from major road,2,1,0,1,0,0,0,CYC,"(51.458295, -2.6183500999999998)"
01/07/2011 12:00:00 AM,08:30,2011,1,7,8,30,4,Slight Injury,C,Child Pedestrian Injury,1,1,1,0,0,1,0,C,"(51.440942999999997, -2.5755566999999999)"
01/05/2011 12:00:00 AM,14:15,2011,1,5,14,15,2,Slight Injury,J1,Turning movement from major road,2,2,0,0,0,0,0,CARS,"(51.425454000000002, -2.5657255000000001)"
01/09/2011 12:00:00 AM,13:27,2011,1,9,13,27,6,Slight Injury,J2,Turning movement from minor road,2,1,0,0,0,0,0,CARS,"(51.486795000000001, -2.6241797)"
01/18/2011 12:00:00 AM,18:10,2011,1,18,18,10,1,Slight Injury,NONE,Other,2,1,0,0,0,0,0,CARS,"(51.458914999999998, -2.5343442999999999)"
01/11/2011 12:00:00 AM,12:30,2011,1,11,12,30,1,Slight Injury,J,Turning movement with unidentified Priority,2,1,0,0,1,0,0,MCYC,"(51.466520000000003, -2.5908934000000001)"
